0%,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2%,25.70,34.32,32.27,0.0000,0.0000,0.0000
2.5%,121.5,187.7,36.53,118.8,71.03,98.52
3%,0,0,0,0,0,0
3.5%,197.6,9.621,26.24,292.6,243.3,246.1
4%,642.0,510.7,885.1,181.5,122.7,216.4
