0%,0,0,0,0,0,0
2%,0,0,0,0,0,0
2.5%,43.71,54.89,24.28
3%,160.6,83.32,45.48,0.0000,28.65,29.22
3.5%,141.0,63.19,36.00
4%,132.7,141.0,145.3
