0%,0,0,0,0,0,0
2%,134.8,80.12,76.82,24.02,21.73,19.95
2.5%,64.33,45.84,43.12
3%,25.97,26.97,24.19,48.65,36.42,54.11
3.5%,93.31,93.31,243.3
4%,136.8,132.7,174.4
